metric,value
LO1_distributions.normal_mean,9.550342499999996
LO1_distributions.normal_sd,3.8392747790241377
LO1_distributions.gamma_shape_mom,6.187846072125006
LO1_distributions.gamma_scale_mom,1.5434033731094825
LO2_hypothesis_testing.regular_effective_rate,0.4461538461538462
LO2_hypothesis_testing.irregular_effective_rate,0.10909090909090909
LO2_hypothesis_testing.two_prop_z,4.0475867153468545
LO2_hypothesis_testing.two_prop_p_approx,5.174841307420408e-05
LO2_hypothesis_testing.welch_t_stat,-8.35065495813247
LO3_regression.intercept,28.103459167171458
LO3_regression.beta_monitoring,-0.7712256056551401
LO3_regression.beta_climate_risk,4.3292564395412345
LO3_regression.r2,0.8225003414710399
LO3_regression.mae,2.7995767647587884
LO4_exponential_family.exponential_lambda,0.2356580846276464
LO4_exponential_family.poisson_lambda_proxy,4.216666666666667
LO4_exponential_family.normal_temp_mean,27.00072599999998
LO4_exponential_family.normal_temp_sd,1.2950164147372016
LO5_time_series.train_n,20
LO5_time_series.test_n,5
LO5_time_series.mape_pct,6.936012737694587
LO5_time_series.last_forecast_hg_ha,41104.837774105996
LO6_bayesian.posterior_alpha,30
LO6_bayesian.posterior_beta,37
LO6_bayesian.posterior_mean,0.44776119402985076
LO6_bayesian.credible_interval_95_low,0.3300256522647553
LO6_bayesian.credible_interval_95_high,0.5656577619545614
