Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,144,Sri Lanka,5312,Area harvested,113,Rice,2020,2020,ha,1066403,A,Official figure,
QCL,Crops and livestock products,144,Sri Lanka,5412,Yield,113,Rice,2020,2020,kg/ha,4802.1,A,Official figure,
QCL,Crops and livestock products,144,Sri Lanka,5510,Production,113,Rice,2020,2020,t,5120924,A,Official figure,
QCL,Crops and livestock products,144,Sri Lanka,5312,Area harvested,113,Rice,2021,2021,ha,1126605,A,Official figure,
QCL,Crops and livestock products,144,Sri Lanka,5412,Yield,113,Rice,2021,2021,kg/ha,4570.9,A,Official figure,
QCL,Crops and livestock products,144,Sri Lanka,5510,Production,113,Rice,2021,2021,t,5149596,A,Official figure,
QCL,Crops and livestock products,144,Sri Lanka,5312,Area harvested,113,Rice,2022,2022,ha,1114246,A,Official figure,
QCL,Crops and livestock products,144,Sri Lanka,5412,Yield,113,Rice,2022,2022,kg/ha,3045,A,Official figure,
QCL,Crops and livestock products,144,Sri Lanka,5510,Production,113,Rice,2022,2022,t,3392905,A,Official figure,
QCL,Crops and livestock products,144,Sri Lanka,5312,Area harvested,113,Rice,2023,2023,ha,1162805,A,Official figure,
QCL,Crops and livestock products,144,Sri Lanka,5412,Yield,113,Rice,2023,2023,kg/ha,3881.5,A,Official figure,
QCL,Crops and livestock products,144,Sri Lanka,5510,Production,113,Rice,2023,2023,t,4513431,A,Official figure,
QCL,Crops and livestock products,144,Sri Lanka,5312,Area harvested,113,Rice,2024,2024,ha,1131859,A,Official figure,
QCL,Crops and livestock products,144,Sri Lanka,5412,Yield,113,Rice,2024,2024,kg/ha,4151.1,A,Official figure,
QCL,Crops and livestock products,144,Sri Lanka,5510,Production,113,Rice,2024,2024,t,4698453,A,Official figure,
