Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2000","2000","t","157473","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2001","2001","t","158448","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2002","2002","t","188317","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2003","2003","t","150656","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2004","2004","t","163234","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2005","2005","t","181556","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2006","2006","t","175249","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2007","2007","t","161607","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2008","2008","t","209393","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2009","2009","t","181732","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2010","2010","t","166096","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2011","2011","t","209380","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2012","2012","t","164272","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2013","2013","t","127752","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2014","2014","t","227849","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2015","2015","t","150060","E","Estimated value",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2016","2016","t","117777","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2017","2017","t","109730","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2018","2018","t","68830","E","Estimated value",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2019","2019","t","143690","E","Estimated value",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2020","2020","t","239289","E","Estimated value",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2021","2021","t","119230","E","Estimated value",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2022","2022","t","119230","I","Value imputed by a receiving agency",""
