Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","0113","Rice","2000","2000","ha","832000","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","0113","Rice","2001","2001","ha","765040","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","0113","Rice","2002","2002","ha","819590","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","0113","Rice","2003","2003","ha","911440","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","0113","Rice","2004","2004","ha","719690","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","0113","Rice","2005","2005","ha","915260","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","0113","Rice","2006","2006","ha","910493","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","0113","Rice","2007","2007","ha","816713","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","0113","Rice","2008","2008","ha","1052993","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","0113","Rice","2009","2009","ha","942410","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","0113","Rice","2010","2010","ha","1060360","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","0113","Rice","2011","2011","ha","1091050","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","0113","Rice","2012","2012","ha","1066620","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","0113","Rice","2013","2013","ha","1188000","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","0113","Rice","2014","2014","ha","881000","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","0113","Rice","2015","2015","ha","1211000","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","0113","Rice","2016","2016","ha","1141323","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","0113","Rice","2017","2017","ha","791679","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","0113","Rice","2018","2018","ha","1040954","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","0113","Rice","2019","2019","ha","957596","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","0113","Rice","2020","2020","ha","1066403","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","0113","Rice","2021","2021","ha","1126605","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","0113","Rice","2022","2022","ha","1114246","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","0113","Rice","2023","2023","ha","1162805","A","Official figure",""
