Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","0113","Rice","2000","2000","kg/ha","3437.4","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","0113","Rice","2001","2001","kg/ha","3522.8","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","0113","Rice","2002","2002","kg/ha","3488.9","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","0113","Rice","2003","2003","kg/ha","3369.6","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","0113","Rice","2004","2004","kg/ha","3651.6","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","0113","Rice","2005","2005","kg/ha","3546.5","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","0113","Rice","2006","2006","kg/ha","3670.5","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","0113","Rice","2007","2007","kg/ha","3833.7","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","0113","Rice","2008","2008","kg/ha","3680","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","0113","Rice","2009","2009","kg/ha","3874.8","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","0113","Rice","2010","2010","kg/ha","4055.8","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","0113","Rice","2011","2011","kg/ha","3569.9","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","0113","Rice","2012","2012","kg/ha","3605.7","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","0113","Rice","2013","2013","kg/ha","3889.7","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","0113","Rice","2014","2014","kg/ha","3837.7","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","0113","Rice","2015","2015","kg/ha","3979.4","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","0113","Rice","2016","2016","kg/ha","3872.8","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","0113","Rice","2017","2017","kg/ha","3010.3","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","0113","Rice","2018","2018","kg/ha","3775.2","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","0113","Rice","2019","2019","kg/ha","4795.4","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","0113","Rice","2020","2020","kg/ha","4802.1","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","0113","Rice","2021","2021","kg/ha","4570.9","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","0113","Rice","2022","2022","kg/ha","3045","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","0113","Rice","2023","2023","kg/ha","3881.5","A","Official figure",""
