Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
RFN,Fertilizers by Nutrient,144,Sri Lanka,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2020,2020,t,239289,E,Estimated value,
RFN,Fertilizers by Nutrient,144,Sri Lanka,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2021,2021,t,119230,E,Estimated value,
RFN,Fertilizers by Nutrient,144,Sri Lanka,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2022,2022,t,119230,I,Value imputed by a receiving agency,
RFN,Fertilizers by Nutrient,144,Sri Lanka,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2023,2023,t,119230,I,Value imputed by a receiving agency,
RFN,Fertilizers by Nutrient,144,Sri Lanka,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2020,2020,t,51155,E,Estimated value,
RFN,Fertilizers by Nutrient,144,Sri Lanka,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2021,2021,t,13773,E,Estimated value,
RFN,Fertilizers by Nutrient,144,Sri Lanka,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2022,2022,t,13773,I,Value imputed by a receiving agency,
RFN,Fertilizers by Nutrient,144,Sri Lanka,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2023,2023,t,13773,I,Value imputed by a receiving agency,
RFN,Fertilizers by Nutrient,144,Sri Lanka,5157,Agricultural Use,3104,Nutrient potash K2O (total),2020,2020,t,119722,E,Estimated value,
RFN,Fertilizers by Nutrient,144,Sri Lanka,5157,Agricultural Use,3104,Nutrient potash K2O (total),2021,2021,t,78200,E,Estimated value,
RFN,Fertilizers by Nutrient,144,Sri Lanka,5157,Agricultural Use,3104,Nutrient potash K2O (total),2022,2022,t,78200,I,Value imputed by a receiving agency,
RFN,Fertilizers by Nutrient,144,Sri Lanka,5157,Agricultural Use,3104,Nutrient potash K2O (total),2023,2023,t,78200,I,Value imputed by a receiving agency,
