date,temperature_c,rainfall_mm
2000-01-01,23.72,0.02
2000-01-02,24.28,0.05
2000-01-03,24.6,0.0
2000-01-04,24.48,0.0
2000-01-05,24.96,0.09
2000-01-06,24.49,8.15
2000-01-07,24.49,4.54
2000-01-08,25.05,0.0
2000-01-09,25.12,5.43
2000-01-10,25.13,6.92
2000-01-11,25.01,3.91
2000-01-12,25.56,0.04
2000-01-13,25.28,0.0
2000-01-14,25.01,0.0
2000-01-15,24.81,0.0
2000-01-16,25.12,0.0
2000-01-17,25.12,0.0
2000-01-18,25.04,0.0
2000-01-19,24.69,0.0
2000-01-20,23.63,0.0
2000-01-21,23.02,0.0
2000-01-22,23.1,0.0
2000-01-23,23.58,0.0
2000-01-24,23.79,0.0
2000-01-25,24.31,0.0
2000-01-26,24.33,0.0
2000-01-27,25.04,0.0
2000-01-28,26.2,0.0
2000-01-29,26.67,0.0
2000-01-30,26.28,0.02
2000-01-31,25.37,0.07
2000-02-01,25.58,0.09
2000-02-02,26.59,0.0
2000-02-03,26.51,23.92
2000-02-04,25.8,12.65
2000-02-05,26.2,0.35
2000-02-06,26.14,5.49
2000-02-07,26.41,2.16
2000-02-08,26.36,0.0
2000-02-09,26.19,0.0
2000-02-10,26.13,0.0
2000-02-11,26.43,0.01
2000-02-12,26.18,0.01
2000-02-13,25.09,0.0
2000-02-14,25.94,0.0
2000-02-15,26.57,0.0
2000-02-16,26.46,0.15
2000-02-17,26.58,0.41
2000-02-18,27.01,0.01
2000-02-19,27.07,0.01
2000-02-20,26.1,0.0
2000-02-21,26.61,0.4
2000-02-22,26.92,0.34
2000-02-23,27.44,0.0
2000-02-24,25.66,0.0
2000-02-25,26.41,0.0
2000-02-26,27.72,6.34
2000-02-27,27.34,9.58
2000-02-28,27.28,0.0
2000-02-29,27.49,1.63
2000-03-01,27.26,0.18
2000-03-02,27.63,0.0
2000-03-03,27.58,0.0
2000-03-04,28.16,0.0
2000-03-05,27.37,1.07
2000-03-06,26.56,4.67
2000-03-07,26.97,0.0
2000-03-08,28.56,0.02
2000-03-09,29.32,0.0
2000-03-10,29.63,0.0
2000-03-11,29.37,0.0
2000-03-12,29.24,0.05
2000-03-13,29.6,0.1
2000-03-14,30.31,0.0
2000-03-15,29.73,0.52
2000-03-16,29.23,0.08
2000-03-17,29.48,0.01
2000-03-18,28.08,0.0
2000-03-19,26.82,0.0
2000-03-20,27.28,0.0
2000-03-21,27.21,0.0
2000-03-22,27.98,0.0
2000-03-23,27.66,0.0
2000-03-24,26.97,4.36
2000-03-25,28.33,0.75
2000-03-26,29.04,0.0
2000-03-27,27.98,0.0
2000-03-28,28.05,0.0
2000-03-29,28.03,3.09
2000-03-30,28.07,1.03
2000-03-31,28.89,0.0
2000-04-01,27.91,14.32
2000-04-02,27.66,7.18
2000-04-03,29.31,0.06
2000-04-04,27.98,0.06
2000-04-05,28.7,1.35
2000-04-06,27.29,11.49
2000-04-07,27.26,12.02
2000-04-08,27.51,2.32
2000-04-09,29.07,0.0
2000-04-10,30.13,0.0
2000-04-11,29.74,0.0
2000-04-12,30.08,0.0
2000-04-13,29.89,0.0
2000-04-14,30.41,0.0
2000-04-15,30.27,0.0
2000-04-16,30.32,0.0
2000-04-17,29.89,0.06
2000-04-18,30.27,0.23
2000-04-19,29.05,11.19
2000-04-20,28.96,1.68
2000-04-21,27.83,0.04
2000-04-22,27.99,0.03
2000-04-23,27.56,0.0
2000-04-24,27.99,6.55
2000-04-25,29.03,5.64
2000-04-26,29.43,0.02
2000-04-27,29.0,0.04
2000-04-28,29.63,0.0
2000-04-29,29.63,0.0
2000-04-30,29.52,0.0
2000-05-01,29.23,0.0
2000-05-02,29.27,0.0
2000-05-03,28.94,0.0
2000-05-04,30.0,0.0
2000-05-05,29.52,0.0
2000-05-06,28.59,0.1
2000-05-07,28.48,0.04
2000-05-08,30.2,0.0
2000-05-09,30.82,0.0
2000-05-10,30.15,0.0
2000-05-11,28.7,5.87
2000-05-12,27.14,4.37
2000-05-13,28.6,0.0
2000-05-14,29.35,0.0
2000-05-15,29.53,0.0
2000-05-16,29.02,0.0
2000-05-17,29.68,0.0
2000-05-18,29.41,0.0
2000-05-19,29.07,0.18
2000-05-20,29.22,0.25
2000-05-21,29.62,0.0
2000-05-22,30.57,0.0
2000-05-23,30.54,0.0
2000-05-24,29.65,7.86
2000-05-25,28.42,5.18
2000-05-26,28.38,0.0
2000-05-27,27.16,0.0
2000-05-28,27.76,0.0
2000-05-29,28.16,0.0
2000-05-30,26.43,14.44
2000-05-31,26.58,16.54
2000-06-01,27.31,0.05
2000-06-02,27.85,0.06
2000-06-03,27.89,0.0
2000-06-04,27.87,0.08
2000-06-05,27.67,2.34
2000-06-06,27.35,6.57
2000-06-07,27.14,0.58
2000-06-08,26.82,0.03
2000-06-09,26.74,0.27
2000-06-10,26.96,1.07
2000-06-11,26.19,10.64
2000-06-12,25.91,5.44
2000-06-13,26.16,0.0
2000-06-14,27.0,0.0
2000-06-15,27.15,0.0
2000-06-16,27.7,0.0
2000-06-17,27.28,0.0
2000-06-18,26.97,0.0
2000-06-19,27.81,0.16
2000-06-20,27.61,4.38
2000-06-21,27.46,5.43
2000-06-22,27.33,2.28
2000-06-23,27.21,1.84
2000-06-24,27.04,0.59
2000-06-25,26.41,0.64
2000-06-26,27.7,0.01
2000-06-27,25.72,2.26
2000-06-28,25.84,0.71
2000-06-29,27.17,0.1
2000-06-30,26.13,1.22
2000-07-01,26.84,0.86
2000-07-02,26.73,0.0
2000-07-03,27.43,0.0
2000-07-04,26.55,0.02
2000-07-05,27.51,0.02
2000-07-06,27.01,3.03
2000-07-07,26.94,2.4
2000-07-08,27.25,0.13
2000-07-09,27.61,0.02
2000-07-10,27.78,0.0
2000-07-11,26.72,0.0
2000-07-12,27.59,0.0
2000-07-13,27.23,0.0
2000-07-14,28.05,0.0
2000-07-15,28.69,0.0
2000-07-16,27.74,0.0
2000-07-17,27.63,0.13
2000-07-18,28.31,0.08
2000-07-19,28.37,0.0
2000-07-20,28.96,1.0
