metric,value
LO1_distributions.normal_mean_response_time,1.356062
LO1_distributions.normal_sd_response_time,1.037596
LO1_distributions.gamma_shape_estimate,1.708058
LO1_distributions.gamma_scale_estimate,0.793921
LO2_hypothesis_testing.error,Insufficient data for hypothesis testing
LO3_regression.intercept,4.00589
LO3_regression.beta_monitoring_index,-0.949676
LO3_regression.beta_climate_risk,2.062994
LO3_regression.r_squared,0.020749
LO3_regression.mae,4.39817
LO5_time_series.train_size,19
LO5_time_series.test_size,5
LO5_time_series.mape_percent,20.7816
LO5_time_series.last_forecast_kg_ha,3312.52
LO6_bayesian.posterior_alpha,25
LO6_bayesian.posterior_beta,1
LO6_bayesian.posterior_mean,0.961538
LO6_bayesian.credible_interval_95_low,0.864033
LO6_bayesian.credible_interval_95_high,0.998952
